bt_Close,bt_Volume,bt_High,bt_Low,eth_Close,eth_Volume,eth_High,eth_Low
0,0,12107.3,10942.5,0,0,1100.31,967.76
0.0115469416,-0.284945807,11992.8,11172.1,0.0027212722,-0.3121876221,1093.22,1003.71
0.124123086,-0.2142885675,13103,11656.2,0.11470838,-0.3305867653,1167.11,1044.95
0.0109107705,-0.3385542329,12895.9,11288.2,0.0128343691,-0.4311370893,1155.68,1021.5
-0.0473642472,-0.29846076,11966.4,10240.2,-0.031863975,-0.3583875574,1089.1,930.74
-0.0528544911,-0.356834039,11377.6,10129.7,-0.0482977574,-0.4010595589,1023.23,920.54
-0.0100654472,-0.3381674256,11501.4,10639.8,0.0217122785,-0.3358323566,1062.44,965.81
-0.0187801201,-0.4092587414,11785.7,11057.4,0.0190585556,-0.3179569306,1104.66,1034.74
-0.0264490322,-0.3511357887,11656.7,10470.3,0.0182286641,-0.3907889774,1080.6,996.78
-0.0029804181,-0.4951352827,11614.9,10989.2,0.0683116532,-0.4943233103,1121.98,1042.12
0.0271374914,-0.4440654044,12040.3,11475.3,0.2023873856,-0.0953114686,1257.77,1111.78
-0.0155556911,-0.5268195254,11875.6,11179.2,0.1409657621,-0.374388716,1256.7,1169.08
-0.1192690132,-0.424924769,11307.2,10036.2,0.033629907,-0.3082454297,1184.63,1058.97
-0.1092645688,-0.4646507417,10381.6,9777.42,0.0791581426,-0.3672351776,1128.66,1034.5
-0.2008174363,-0.3369417592,10288.8,8812.28,0.000492145,-0.1139446847,1161.35,984.82
-0.2304290233,-0.1526923384,9142.28,7796.49,-0.1162813139,0.13050324,1035.77,757.98
-0.2004366051,-0.5164050225,9430.75,8251.63,-0.0697301888,-0.4538051166,991.94,847.69
-0.278685653,-0.5290704642,9334.87,8031.22,-0.1945420157,-0.4952966496,969.03,805.06
-0.3938709706,-0.3818213896,8364.84,6756.68,-0.3264851199,-0.281020558,856.65,644.6
-0.3242642637,-0.0679475913,7850.7,6048.26,-0.2346470066,0.0976623018,796.44,574.42
